<video_id>,<frame_id>,<movement_id>,<vehicle_class_id>
cam_11,22,2,car
cam_11,39,2,car
cam_11,42,2,car
cam_11,59,2,car
cam_11,71,2,car
cam_11,71,2,car
cam_11,83,2,car
cam_11,130,1,car
cam_11,144,2,car
cam_11,149,2,car
cam_11,161,2,car
cam_11,163,2,car
cam_11,173,2,car
cam_11,192,2,car
cam_11,224,2,car
cam_11,267,2,car
cam_11,296,2,truck
cam_11,301,2,car
cam_11,314,2,car
cam_11,319,2,truck
cam_11,361,2,truck
cam_11,384,2,car
cam_11,440,2,car
cam_11,449,2,car
cam_11,957,3,car
cam_11,962,2,car
cam_11,967,2,car
cam_11,975,3,car
cam_11,983,2,car
cam_11,1024,2,truck
cam_11,1038,2,car
cam_11,1043,2,car
cam_11,1064,2,car
cam_11,1093,2,car
cam_11,1097,2,car
cam_11,1118,1,car
cam_11,1149,2,car
cam_11,1160,1,car
cam_11,1188,2,car
cam_11,1217,2,car
cam_11,1233,2,car
cam_11,1295,2,car
cam_11,1353,2,car
cam_11,1430,2,car
cam_11,1451,2,car
cam_11,1469,2,car
cam_11,1474,2,car
cam_11,1503,2,truck
cam_11,1551,2,car
cam_11,1563,2,car
cam_11,1629,2,car
cam_11,2049,1,car
cam_11,2073,2,car
cam_11,2075,2,car
cam_11,2084,3,car
cam_11,2100,2,car
cam_11,2103,2,car
cam_11,2105,3,car
