<video_id>,<frame_id>,<movement_id>,<vehicle_class_id>
cam_1_dawn,41,4,car
cam_1_dawn,547,3,truck
cam_1_dawn,222,2,truck
cam_1_dawn,230,1,car
cam_1_dawn,234,2,car
cam_1_dawn,238,1,car
cam_1_dawn,244,1,car
cam_1_dawn,249,1,car
cam_1_dawn,249,2,car
cam_1_dawn,561,3,car
cam_1_dawn,262,4,car
cam_1_dawn,268,2,car
cam_1_dawn,275,4,car
cam_1_dawn,284,2,car
cam_1_dawn,292,2,car
cam_1_dawn,297,1,car
cam_1_dawn,300,4,car
cam_1_dawn,309,2,car
cam_1_dawn,327,2,car
cam_1_dawn,354,2,car
cam_1_dawn,368,1,car
cam_1_dawn,399,4,car
cam_1_dawn,417,1,car
cam_1_dawn,423,2,car
cam_1_dawn,429,4,car
cam_1_dawn,432,1,car
cam_1_dawn,458,2,truck
cam_1_dawn,461,1,car
cam_1_dawn,470,1,car
cam_1_dawn,473,4,truck
cam_1_dawn,510,1,car
cam_1_dawn,549,4,car
cam_1_dawn,613,1,car
cam_1_dawn,618,1,car
cam_1_dawn,630,1,car
cam_1_dawn,676,1,truck
cam_1_dawn,687,1,car
cam_1_dawn,698,1,truck
cam_1_dawn,700,1,truck
cam_1_dawn,710,1,car
cam_1_dawn,750,1,car
cam_1_dawn,807,1,truck
cam_1_dawn,822,1,car
cam_1_dawn,853,4,car
cam_1_dawn,855,1,car
cam_1_dawn,910,1,car
cam_1_dawn,927,2,car
cam_1_dawn,976,4,car
cam_1_dawn,991,2,car
cam_1_dawn,1033,4,car
cam_1_dawn,1072,2,car
cam_1_dawn,1102,2,car
cam_1_dawn,1112,1,car
cam_1_dawn,1146,2,car
cam_1_dawn,1159,2,car
cam_1_dawn,1161,4,car
cam_1_dawn,1169,2,car
cam_1_dawn,1180,2,car
cam_1_dawn,1191,2,car
cam_1_dawn,1239,2,car
cam_1_dawn,1246,1,car
cam_1_dawn,1278,3,car
cam_1_dawn,1299,1,truck
cam_1_dawn,1302,2,car
cam_1_dawn,1321,2,car
cam_1_dawn,1329,1,car
cam_1_dawn,1338,2,car
cam_1_dawn,1347,2,car
cam_1_dawn,1375,4,car
cam_1_dawn,1376,1,car
cam_1_dawn,1393,4,car
cam_1_dawn,1413,4,car
cam_1_dawn,1466,1,car
cam_1_dawn,1473,1,car
cam_1_dawn,1480,1,car
cam_1_dawn,1524,1,car
cam_1_dawn,1537,1,car
cam_1_dawn,1544,1,car
cam_1_dawn,1554,1,car
cam_1_dawn,1594,2,car
cam_1_dawn,1621,2,car
cam_1_dawn,1684,1,car
cam_1_dawn,1732,1,car
cam_1_dawn,1747,1,truck
cam_1_dawn,1748,1,car
cam_1_dawn,1763,2,car
cam_1_dawn,1808,1,car
cam_1_dawn,1943,4,car
cam_1_dawn,1948,2,car
cam_1_dawn,1965,2,car
cam_1_dawn,1971,4,car
cam_1_dawn,1981,2,car
cam_1_dawn,2043,2,car
cam_1_dawn,2071,2,car
cam_1_dawn,2085,1,car
cam_1_dawn,2088,2,car
cam_1_dawn,2094,4,car
cam_1_dawn,2103,2,car
cam_1_dawn,2179,3,car
cam_1_dawn,2182,1,car
cam_1_dawn,2230,2,car
cam_1_dawn,2240,1,car
cam_1_dawn,2281,2,car
cam_1_dawn,2294,2,car
cam_1_dawn,2328,1,car
cam_1_dawn,2338,1,car
cam_1_dawn,2349,1,car
cam_1_dawn,2361,1,car
cam_1_dawn,2376,2,car
cam_1_dawn,2378,1,car
cam_1_dawn,2392,1,car
cam_1_dawn,2395,2,car
cam_1_dawn,2398,1,car
cam_1_dawn,2414,1,car
cam_1_dawn,2422,1,car
cam_1_dawn,2595,3,truck
cam_1_dawn,2449,1,car
cam_1_dawn,2459,1,car
cam_1_dawn,2484,1,car
cam_1_dawn,2509,1,car
cam_1_dawn,2520,1,car
cam_1_dawn,2524,1,car
cam_1_dawn,2560,1,car
cam_1_dawn,2595,2,car
cam_1_dawn,2660,1,car
cam_1_dawn,2671,1,car
cam_1_dawn,2707,1,car
cam_1_dawn,2719,1,car
cam_1_dawn,2729,1,truck
cam_1_dawn,2765,1,car
cam_1_dawn,2778,1,car
cam_1_dawn,2807,1,truck
cam_1_dawn,2812,2,car
cam_1_dawn,2851,2,car
cam_1_dawn,2900,3,car
cam_1_dawn,2926,1,car
cam_1_dawn,2957,1,car
cam_1_dawn,2975,2,car
cam_1_dawn,235,1,car
cam_1_dawn,458,1,car
cam_1_dawn,214,2,car
cam_1_dawn,255,2,car
cam_1_dawn,361,2,car
cam_1_dawn,380,2,car
cam_1_dawn,415,2,car
cam_1_dawn,481,2,car
cam_1_dawn,825,2,car
cam_1_dawn,1218,2,car
cam_1_dawn,1227,2,car
cam_1_dawn,1371,2,car
cam_1_dawn,1426,2,car
cam_1_dawn,1462,2,car
cam_1_dawn,1647,2,car
cam_1_dawn,1839,2,car
cam_1_dawn,1968,2,car
cam_1_dawn,2051,2,car
cam_1_dawn,2230,2,car
cam_1_dawn,2281,2,car
cam_1_dawn,2379,2,car
cam_1_dawn,2433,2,truck
cam_1_dawn,231,4,car
