<video_id>,<frame_id>,<movement_id>,<vehicle_class_id>
cam_2_rain,13,1,car
cam_2_rain,25,2,car
cam_2_rain,45,1,car
cam_2_rain,58,2,car
cam_2_rain,69,1,car
cam_2_rain,77,1,car
cam_2_rain,90,1,car
cam_2_rain,110,2,car
cam_2_rain,124,1,car
cam_2_rain,130,3,car
cam_2_rain,161,1,car
cam_2_rain,184,3,car
cam_2_rain,196,2,truck
cam_2_rain,198,4,car
cam_2_rain,202,1,car
cam_2_rain,269,2,car
cam_2_rain,295,2,car
cam_2_rain,322,2,car
cam_2_rain,390,2,truck
cam_2_rain,406,1,car
cam_2_rain,421,1,car
cam_2_rain,438,3,car
cam_2_rain,445,1,car
cam_2_rain,447,1,car
cam_2_rain,467,1,car
cam_2_rain,509,2,car
cam_2_rain,513,2,car
cam_2_rain,514,1,car
cam_2_rain,520,1,truck
cam_2_rain,531,1,car
cam_2_rain,534,2,car
cam_2_rain,542,1,car
cam_2_rain,544,1,car
cam_2_rain,552,1,car
cam_2_rain,561,2,car
cam_2_rain,580,2,car
cam_2_rain,654,1,car
cam_2_rain,654,2,car
cam_2_rain,693,2,car
cam_2_rain,711,2,car
cam_2_rain,718,2,car
cam_2_rain,863,2,truck
cam_2_rain,904,4,car
cam_2_rain,911,4,car
cam_2_rain,919,2,truck
cam_2_rain,919,4,car
cam_2_rain,956,4,car
cam_2_rain,960,2,car
cam_2_rain,973,4,car
cam_2_rain,995,4,car
cam_2_rain,1027,1,car
cam_2_rain,1028,2,truck
cam_2_rain,1056,3,car
cam_2_rain,1056,2,car
cam_2_rain,1070,2,car
cam_2_rain,1075,1,car
cam_2_rain,1085,2,car
cam_2_rain,1100,1,car
cam_2_rain,1111,1,car
cam_2_rain,1135,1,car
cam_2_rain,1140,3,car
cam_2_rain,1170,3,car
cam_2_rain,1173,1,truck
cam_2_rain,1194,2,car
cam_2_rain,1197,3,car
cam_2_rain,1218,1,car
cam_2_rain,1218,3,car
cam_2_rain,1256,1,truck
cam_2_rain,1260,1,car
cam_2_rain,1264,2,car
cam_2_rain,1278,1,car
cam_2_rain,1287,1,car
cam_2_rain,1294,1,car
cam_2_rain,1305,1,car
cam_2_rain,1316,2,car
cam_2_rain,1327,3,car
cam_2_rain,1338,2,car
cam_2_rain,1344,4,car
cam_2_rain,1360,3,car
cam_2_rain,1364,1,car
cam_2_rain,1393,1,car
cam_2_rain,1416,2,car
cam_2_rain,1435,2,car
cam_2_rain,1452,1,truck
cam_2_rain,1477,1,car
cam_2_rain,1492,2,car
cam_2_rain,1503,3,car
cam_2_rain,1538,1,car
cam_2_rain,1575,1,car
cam_2_rain,1576,2,car
cam_2_rain,1604,1,car
cam_2_rain,1633,1,truck
cam_2_rain,1633,3,car
cam_2_rain,1657,3,car
cam_2_rain,1666,1,truck
cam_2_rain,1680,3,car
cam_2_rain,1704,1,car
cam_2_rain,1706,2,car
cam_2_rain,1711,3,car
cam_2_rain,1722,2,truck
cam_2_rain,1743,2,car
cam_2_rain,1743,2,car
cam_2_rain,1764,2,car
cam_2_rain,1781,3,car
cam_2_rain,1786,2,car
cam_2_rain,1810,1,truck
cam_2_rain,1812,2,car
cam_2_rain,1820,2,car
cam_2_rain,1827,2,car
cam_2_rain,1841,2,car
cam_2_rain,1841,2,car
cam_2_rain,1856,2,car
cam_2_rain,1864,2,car
cam_2_rain,1877,2,car
cam_2_rain,1898,4,car
cam_2_rain,1910,4,car
cam_2_rain,1929,2,truck
cam_2_rain,1949,4,car
cam_2_rain,1955,2,car
cam_2_rain,1964,4,car
cam_2_rain,1976,2,car
cam_2_rain,1987,4,car
cam_2_rain,2005,2,car
cam_2_rain,2019,1,car
cam_2_rain,2073,2,car
cam_2_rain,2082,3,car
cam_2_rain,2094,2,car
cam_2_rain,2130,2,car
cam_2_rain,2141,2,car
cam_2_rain,2203,2,car
cam_2_rain,2215,2,car
cam_2_rain,2226,2,car
cam_2_rain,2255,1,car
cam_2_rain,2265,2,car
cam_2_rain,2269,3,car
cam_2_rain,2275,1,car
cam_2_rain,2279,2,car
cam_2_rain,2328,1,car
cam_2_rain,2342,2,car
cam_2_rain,2388,1,car
cam_2_rain,2391,1,car
cam_2_rain,2400,1,car
cam_2_rain,2418,1,car
cam_2_rain,2419,1,car
cam_2_rain,2440,3,car
cam_2_rain,2448,1,car
cam_2_rain,2454,3,car
cam_2_rain,2466,2,car
cam_2_rain,2494,1,car
cam_2_rain,2505,2,car
cam_2_rain,2515,1,truck
cam_2_rain,2527,2,car
cam_2_rain,2542,2,car
cam_2_rain,2544,1,car
cam_2_rain,2561,1,car
cam_2_rain,2565,2,car
cam_2_rain,2572,1,car
cam_2_rain,2575,1,car
cam_2_rain,2591,2,car
cam_2_rain,2609,1,car
cam_2_rain,2617,1,car
cam_2_rain,2626,1,car
cam_2_rain,2646,1,car
cam_2_rain,2662,2,car
cam_2_rain,2664,1,truck
cam_2_rain,2713,3,car
cam_2_rain,2736,1,truck
cam_2_rain,2740,3,car
cam_2_rain,2763,2,car
cam_2_rain,2767,2,car
cam_2_rain,2769,1,car
cam_2_rain,2785,2,car
cam_2_rain,2790,3,car
cam_2_rain,2791,2,truck
cam_2_rain,2803,1,truck
cam_2_rain,2821,1,truck
cam_2_rain,2823,2,truck
cam_2_rain,2839,1,truck
cam_2_rain,2847,2,car
cam_2_rain,2859,2,car
cam_2_rain,2908,2,car
cam_2_rain,2916,4,car
cam_2_rain,2924,2,car
