<video_id>,<frame_id>,Unnamed: 2,<vehicle_class_id>
cam_3,12,2,car
cam_3,17,1,car
cam_3,34,4,car
cam_3,60,2,car
cam_3,140,2,car
cam_3,150,2,car
cam_3,167,2,truck
cam_3,171,2,car
cam_3,184,1,car
cam_3,205,4,car
cam_3,207,1,car
cam_3,232,2,truck
cam_3,236,1,car
cam_3,243,2,car
cam_3,267,1,car
cam_3,296,1,car
cam_3,305,1,car
cam_3,321,1,car
cam_3,342,1,car
cam_3,362,2,car
cam_3,380,2,car
cam_3,387,1,car
cam_3,409,1,car
cam_3,413,1,car
cam_3,413,2,truck
cam_3,414,2,car
cam_3,424,2,car
cam_3,433,1,car
cam_3,480,1,car 
cam_3,480,2,car
cam_3,485,2,car
cam_3,490,1,car
cam_3,492,1,car
cam_3,508,2,car
cam_3,510,1,car
cam_3,518,1,car
cam_3,539,2,car
cam_3,545,2,truck
cam_3,548,1,car
cam_3,554,1,car
cam_3,556,1,car
cam_3,564,1,car
cam_3,565,1,car
cam_3,575,1,car
cam_3,601,2,car
cam_3,633,1,truck
cam_3,648,2,car
cam_3,662,4,car
cam_3,672,2,car
cam_3,683,3,car
cam_3,722,2,car
cam_3,735,2,car
cam_3,755,1,car
cam_3,764,1,car
cam_3,764,2,car
cam_3,767,1,car
cam_3,781,1,car
cam_3,784,1,car
cam_3,795,1,car
cam_3,796,2,car
cam_3,811,2,truck
cam_3,819,2,car
cam_3,820,1,car
cam_3,853,1,car
cam_3,873,1,car
cam_3,888,1,car 
cam_3,889,2,truck
cam_3,896,1,car
cam_3,900,1,car
cam_3,908,2,car
cam_3,908,2,car
cam_3,914,1,truck
cam_3,922,1,car
cam_3,922,2,car
cam_3,938,2,car
cam_3,947,3,car
cam_3,974,1,car
cam_3,987,2,car
cam_3,1003,2,car
cam_3,1081,2,car
cam_3,1098,2,car
cam_3,1134,4,car
cam_3,1183,3,car
cam_3,1185,2,truck
cam_3,1210,1,car
cam_3,1232,2,car
cam_3,1249,2,truck
cam_3,1252,1,car
cam_3,1283,4,car
cam_3,1345,2,car
cam_3,1368,2,car
cam_3,1380,2,car
cam_3,1391,2,car
cam_3,1395,2,car
cam_3,1403,3,car
