<video_id>,<frame_id>,<movement_id>,<vehicle_class_id>
cam_6_snow,9,10,car
cam_6_snow,33,7,car
cam_6_snow,167,9,car
cam_6_snow,189,8,car
cam_6_snow,246,7,car
cam_6_snow,372,2,car
cam_6_snow,395,2,car
cam_6_snow,425,1,car
cam_6_snow,512,5,car
cam_6_snow,524,5,car
cam_6_snow,548,5,car
cam_6_snow,614,5,car
cam_6_snow,643,1,car
cam_6_snow,731,5,car
cam_6_snow,808,11,car
cam_6_snow,811,11,car
cam_6_snow,831,11,car
cam_6_snow,851,11,car
cam_6_snow,869,11,car
cam_6_snow,889,11,car
cam_6_snow,927,5,car
cam_6_snow,964,1,car
cam_6_snow,988,1,car
cam_6_snow,1047,2,car
cam_6_snow,1058,8,car
cam_6_snow,1192,12,car
cam_6_snow,1229,10,car
cam_6_snow,1238,12,car
cam_6_snow,1277,6,car
cam_6_snow,1281,7,car
cam_6_snow,1298,10,car
cam_6_snow,1314,7,car
cam_6_snow,1315,1,car
cam_6_snow,1503,11,car
cam_6_snow,1510,5,car
cam_6_snow,1528,10,car
cam_6_snow,1551,11,car
cam_6_snow,1554,5,car
cam_6_snow,1619,10,car
cam_6_snow,1698,5,truck
cam_6_snow,1748,11,car
cam_6_snow,1893,1,car
cam_6_snow,1921,8,car
cam_6_snow,1927,2,car
cam_6_snow,1949,8,car
cam_6_snow,1977,8,car
cam_6_snow,2005,9,car
cam_6_snow,2226,12,car
cam_6_snow,2273,11,car
cam_6_snow,2277,11,car
cam_6_snow,2359,11,car
cam_6_snow,2513,5,car
cam_6_snow,2516,5,car
cam_6_snow,2537,7,car
cam_6_snow,2564,7,car
cam_6_snow,2565,5,truck
cam_6_snow,2590,5,car
cam_6_snow,2663,7,car
cam_6_snow,2703,7,car
cam_6_snow,2740,7,car
cam_6_snow,2760,8,car
cam_6_snow,2948,1,car
cam_6_snow,2955,2,car
